size threads sequential_time parallel_time builtin_time
50000 2 0.004675 0.005245 0.018096
600000 4 0.075943 0.065469 0.357660
150000 2 0.016788 0.016225 0.066982
600000 16 0.076327 0.066112 0.357708
250000 4 0.027596 0.027000 0.118168
900000 32 0.111635 0.099559 0.388078
250000 2 0.027420 0.026504 0.118772
350000 32 0.042842 0.038834 0.198879
350000 4 0.042834 0.037046 0.200352
650000 8 0.080159 0.071355 0.273852
500000 16 0.062285 0.053976 0.249152
400000 8 0.047625 0.042607 0.231307
700000 8 0.089250 0.074250 0.360037
150000 4 0.016773 0.016593 0.067255
500000 32 0.062502 0.055823 0.249427
450000 4 0.055832 0.048886 0.258903
950000 8 0.123573 0.105788 0.499480
250000 8 0.027523 0.026918 0.126992
800000 2 0.104282 0.093237 0.342965
100000 8 0.011378 0.010812 0.052335
1000000 16 0.119732 0.108694 0.525939
250000 16 0.027554 0.027282 0.119540
200000 8 0.020574 0.021675 0.091798
600000 32 0.075896 0.066836 0.360176
700000 2 0.089111 0.080037 0.360080
850000 4 0.109484 0.094077 0.452399
1000000 4 0.119742 0.112227 0.526848
550000 8 0.068866 0.061930 0.332156
700000 32 0.088967 0.077549 0.359173
700000 16 0.089981 0.076219 0.366222
400000 32 0.048020 0.044816 0.227907
550000 32 0.069301 0.061536 0.325006
900000 2 0.111702 0.107737 0.394205
550000 4 0.069022 0.060565 0.324980
450000 16 0.055771 0.049727 0.261533
500000 2 0.062678 0.052748 0.247933
950000 4 0.123257 0.101819 0.497327
450000 32 0.055649 0.050138 0.265107
650000 16 0.079072 0.071220 0.270654
750000 16 0.091915 0.080643 0.456298
550000 16 0.068969 0.058415 0.327041
100000 16 0.011365 0.011187 0.051946
950000 32 0.125727 0.109218 0.497311
50000 8 0.004674 0.005681 0.016629
50000 32 0.004715 0.008422 0.016642
950000 2 0.124925 0.109256 0.500503
1000000 8 0.119959 0.111652 0.529748
800000 16 0.102916 0.089073 0.345554
200000 2 0.020572 0.021780 0.094610
200000 16 0.020547 0.021700 0.091811
150000 8 0.016789 0.015956 0.067265
750000 4 0.091742 0.084819 0.455986
850000 2 0.109285 0.110412 0.451453
800000 4 0.102476 0.091495 0.349472
150000 16 0.016754 0.016785 0.067306
350000 8 0.043740 0.038217 0.199683
50000 4 0.004673 0.005344 0.017621
700000 4 0.089361 0.077285 0.356786
650000 4 0.079250 0.069202 0.272785
750000 8 0.091566 0.080742 0.456895
850000 8 0.110945 0.093296 0.447029
950000 16 0.123238 0.106202 0.500431
450000 2 0.055900 0.049996 0.263495
1000000 2 0.119786 0.112344 0.529543
400000 16 0.048881 0.042797 0.234799
300000 8 0.038225 0.032367 0.171723
650000 2 0.080083 0.072255 0.269700
750000 2 0.092280 0.083663 0.457170
150000 32 0.016698 0.019733 0.067576
800000 8 0.103478 0.089305 0.337852
750000 32 0.095089 0.085786 0.455511
850000 16 0.109839 0.093899 0.442409
200000 4 0.020564 0.021220 0.092461
500000 8 0.063925 0.053794 0.248473
900000 16 0.111682 0.098922 0.384193
300000 4 0.036417 0.032343 0.168479
850000 32 0.110551 0.095115 0.443877
900000 4 0.111602 0.096855 0.389247
1000000 32 0.119531 0.111278 0.527505
650000 32 0.080030 0.069977 0.268892
550000 2 0.069222 0.059872 0.327481
400000 2 0.047854 0.043070 0.230952
500000 4 0.062546 0.053978 0.249392
600000 2 0.076267 0.068290 0.357927
300000 2 0.036379 0.033316 0.171353
600000 8 0.078010 0.068387 0.366645
350000 2 0.044680 0.039053 0.204545
800000 32 0.103167 0.088274 0.351030
100000 32 0.011365 0.012710 0.050984
300000 16 0.036427 0.032321 0.169828
100000 2 0.011411 0.011161 0.050939
100000 4 0.011365 0.010579 0.050959
350000 16 0.042724 0.038572 0.199683
900000 8 0.111640 0.099683 0.389404
50000 16 0.004677 0.005925 0.016660
400000 4 0.047210 0.043467 0.229875
450000 8 0.055695 0.048740 0.259650
250000 32 0.027405 0.027504 0.116929
200000 32 0.020554 0.022629 0.091687
300000 32 0.036330 0.033320 0.169472
450000 8 0.056584 0.049612 0.262143
650000 32 0.079116 0.073339 0.272530
1000000 8 0.121191 0.109181 0.526457
300000 4 0.037411 0.032353 0.168692
50000 32 0.004706 0.006880 0.016658
1000000 4 0.119999 0.108453 0.529619
550000 8 0.069460 0.060184 0.325657
950000 4 0.123208 0.107956 0.502469
350000 4 0.043093 0.036917 0.199629
350000 16 0.042902 0.038194 0.198965
400000 2 0.048849 0.045270 0.230131
600000 8 0.075722 0.065043 0.360212
150000 4 0.016874 0.015968 0.067779
1000000 16 0.120469 0.108926 0.528044
800000 4 0.103106 0.089077 0.336546
400000 8 0.048407 0.042719 0.231858
700000 4 0.089902 0.074594 0.359263
250000 8 0.027506 0.026523 0.119708
350000 32 0.042732 0.039041 0.199220
100000 2 0.011365 0.010615 0.051685
200000 16 0.020563 0.022012 0.092179
50000 16 0.004675 0.005936 0.016694
650000 8 0.080538 0.070323 0.270007
600000 16 0.075591 0.066200 0.358360
150000 2 0.018218 0.016608 0.068457
750000 2 0.092711 0.080963 0.457105
550000 4 0.069302 0.060169 0.324869
900000 16 0.112167 0.097948 0.400212
550000 32 0.069329 0.062875 0.327003
700000 8 0.089446 0.075946 0.358566
850000 8 0.110827 0.094258 0.440553
150000 16 0.016684 0.016275 0.067436
250000 16 0.027513 0.027242 0.118836
850000 4 0.109806 0.092223 0.442440
100000 16 0.011356 0.011356 0.051400
150000 8 0.016746 0.016034 0.068029
500000 32 0.062459 0.054394 0.250551
900000 2 0.111763 0.099529 0.386109
450000 2 0.057154 0.050560 0.261871
700000 16 0.089288 0.076260 0.359179
500000 8 0.063755 0.053441 0.249303
450000 4 0.056318 0.050398 0.261741
950000 2 0.124306 0.109629 0.499010
50000 8 0.004680 0.005570 0.016688
100000 8 0.011356 0.010679 0.051307
900000 32 0.112278 0.099736 0.383315
250000 4 0.027403 0.026736 0.118072
450000 16 0.056140 0.050466 0.261659
200000 8 0.020645 0.021612 0.091807
900000 8 0.112352 0.102776 0.393093
200000 2 0.020571 0.021000 0.092171
250000 32 0.027408 0.028742 0.117785
