size threads sequential_time parallel_time builtin_time
20 2 0.000002 0.000191 0.000003
620 4 0.000048 0.000400 0.000193
120 2 0.000008 0.000144 0.000025
680 16 0.000054 0.002633 0.000212
280 4 0.000020 0.000378 0.000075
140 2 0.000010 0.000149 0.000046
260 2 0.000016 0.000171 0.000078
520 32 0.000040 0.002749 0.000159
420 4 0.000032 0.000420 0.000126
780 8 0.000058 0.000791 0.000207
740 16 0.000052 0.001170 0.000230
560 8 0.000064 0.000686 0.000241
920 8 0.000073 0.000763 0.000289
220 4 0.000014 0.000362 0.000058
840 16 0.000055 0.002927 0.000224
600 4 0.000046 0.000362 0.000183
260 16 0.000016 0.002266 0.000078
540 8 0.000042 0.000812 0.000166
900 2 0.000068 0.000211 0.000205
360 8 0.000026 0.000712 0.000106
580 32 0.000044 0.002402 0.000114
720 16 0.000057 0.001444 0.000222
660 32 0.000052 0.003087 0.000207
560 4 0.000043 0.000349 0.000169
780 2 0.000059 0.000199 0.000206
220 8 0.000014 0.000763 0.000057
400 8 0.000030 0.000763 0.000104
80 16 0.000005 0.001629 0.000014
300 2 0.000022 0.000165 0.000090
440 8 0.000029 0.000684 0.000097
360 16 0.000025 0.001607 0.000107
400 32 0.000031 0.002196 0.000105
120 4 0.000008 0.000374 0.000026
1000 4 0.000080 0.000360 0.000317
480 16 0.000033 0.001328 0.000143
660 2 0.000051 0.000211 0.000214
780 32 0.000059 0.003624 0.000209
220 16 0.000014 0.001677 0.000064
440 16 0.000030 0.001477 0.000100
560 32 0.000044 0.002537 0.000174
760 8 0.000058 0.000735 0.000235
620 16 0.000049 0.001413 0.000187
240 8 0.000016 0.000657 0.000068
940 8 0.000077 0.000824 0.000296
40 16 0.000003 0.000825 0.000006
380 4 0.000025 0.000347 0.000089
1000 8 0.000108 0.001010 0.000368
80 4 0.000006 0.000324 0.000016
880 32 0.000065 0.002494 0.000278
120 32 0.000009 0.001763 0.000025
380 16 0.000025 0.002773 0.000092
840 8 0.000055 0.000782 0.000226
340 4 0.000025 0.000345 0.000100
80 32 0.000005 0.001477 0.000014
840 32 0.000055 0.002579 0.000229
60 16 0.000005 0.000836 0.000010
840 4 0.000055 0.000359 0.000228
20 16 0.000002 0.000602 0.000003
960 8 0.000074 0.000725 0.000305
740 4 0.000052 0.000398 0.000226
820 4 0.000094 0.000521 0.000325
940 2 0.000115 0.000313 0.000445
820 2 0.000094 0.000310 0.000327
40 8 0.000004 0.000612 0.000008
860 4 0.000104 0.000553 0.000398
720 4 0.000057 0.000379 0.000217
960 16 0.000073 0.001355 0.000259
700 32 0.000052 0.003164 0.000184
960 4 0.000073 0.000407 0.000261
