size threads sequential_time parallel_time builtin_time
50000 2 0.005742 0.007168 0.017128
600000 4 0.082141 0.068401 0.229687
150000 2 0.019689 0.019559 0.054570
600000 16 0.081726 0.076967 0.229889
250000 4 0.032365 0.031147 0.089739
900000 32 0.126978 0.126881 0.354516
250000 2 0.032268 0.028634 0.090829
350000 32 0.045507 0.069622 0.129006
350000 4 0.046225 0.039501 0.131571
650000 8 0.087955 0.069723 0.248256
500000 16 0.076547 0.064541 0.210864
400000 8 0.055206 0.050697 0.147733
700000 8 0.098854 0.082945 0.269762
150000 4 0.019479 0.020122 0.054195
500000 32 0.068518 0.082736 0.190596
450000 4 0.061137 0.052388 0.170499
950000 8 0.136091 0.116727 0.384322
250000 8 0.031953 0.030968 0.091524
800000 2 0.111682 0.097867 0.312641
100000 8 0.012714 0.017398 0.036558
1000000 16 0.142848 0.116722 0.397828
250000 16 0.032225 0.043994 0.095896
200000 8 0.025504 0.030811 0.073217
600000 32 0.084140 0.093500 0.235587
700000 2 0.095700 0.084871 0.274098
850000 4 0.119046 0.097854 0.340923
1000000 4 0.138787 0.119071 0.397588
550000 8 0.073847 0.066749 0.212143
700000 32 0.097489 0.101770 0.272267
700000 16 0.096343 0.087062 0.270478
400000 32 0.053205 0.077007 0.146640
550000 32 0.073970 0.089329 0.208041
900000 2 0.126075 0.108584 0.363214
550000 4 0.074229 0.060565 0.212021
450000 16 0.062154 0.059415 0.166979
500000 2 0.067085 0.061468 0.188516
950000 4 0.132193 0.115381 0.375498
450000 32 0.061279 0.073942 0.166883
650000 16 0.088304 0.079738 0.250789
750000 16 0.103895 0.090900 0.289249
550000 16 0.074180 0.072229 0.208942
100000 16 0.012732 0.024142 0.035595
950000 32 0.133323 0.129025 0.373974
50000 8 0.006904 0.014231 0.016944
50000 32 0.005961 0.050459 0.018343
950000 2 0.134492 0.115638 0.375160
1000000 8 0.139865 0.119799 0.394753
800000 16 0.110626 0.092543 0.310609
200000 2 0.025480 0.023746 0.069827
200000 16 0.025550 0.034268 0.071838
150000 8 0.018786 0.023000 0.054062
750000 4 0.103872 0.087969 0.290227
850000 2 0.117208 0.101627 0.332395
800000 4 0.110978 0.101778 0.322307
150000 16 0.019507 0.035185 0.054468
350000 8 0.045518 0.043032 0.129233
50000 4 0.006619 0.007041 0.015606
700000 4 0.095426 0.088020 0.269442
650000 4 0.088408 0.078436 0.250177
750000 8 0.103178 0.089161 0.289448
850000 8 0.117337 0.098245 0.335377
950000 16 0.132931 0.117575 0.375879
450000 2 0.061515 0.053735 0.166949
1000000 2 0.139757 0.123977 0.396046
400000 16 0.052968 0.053234 0.148072
300000 8 0.038735 0.037037 0.109456
650000 2 0.088947 0.077335 0.253509
750000 2 0.104236 0.078051 0.289526
150000 32 0.019816 0.051066 0.053327
800000 8 0.110247 0.087508 0.312147
750000 32 0.103006 0.102518 0.290511
850000 16 0.117464 0.105770 0.332815
200000 4 0.025516 0.024738 0.072479
500000 8 0.066884 0.057513 0.187653
900000 16 0.125655 0.109868 0.353604
300000 4 0.038758 0.036013 0.108263
850000 32 0.118766 0.115337 0.335906
900000 4 0.125124 0.106019 0.354863
1000000 32 0.140915 0.135187 0.397088
650000 32 0.089796 0.092497 0.257026
550000 2 0.074273 0.062829 0.207876
400000 2 0.052985 0.046136 0.148325
500000 4 0.066591 0.056207 0.188269
600000 2 0.083633 0.076485 0.229935
300000 2 0.039354 0.033279 0.108876
600000 8 0.082609 0.076756 0.228185
350000 2 0.045611 0.037924 0.127506
800000 32 0.111014 0.110289 0.314331
100000 32 0.012925 0.048982 0.035134
300000 16 0.040191 0.045614 0.109692
100000 2 0.013201 0.011724 0.035682
100000 4 0.013001 0.012390 0.033264
350000 16 0.045913 0.049462 0.128944
900000 8 0.125420 0.103701 0.355716
50000 16 0.005642 0.029060 0.016197
400000 4 0.052865 0.045547 0.149916
450000 8 0.061788 0.053204 0.172395
250000 32 0.032368 0.057844 0.090944
200000 32 0.026079 0.056275 0.072104
300000 32 0.039499 0.064112 0.112162
450000 8 0.061348 0.054961 0.167287
650000 32 0.089738 0.093658 0.249837
1000000 8 0.139091 0.109609 0.395523
300000 4 0.039317 0.036843 0.109778
50000 32 0.005767 0.053561 0.016401
1000000 4 0.139692 0.118696 0.397157
550000 8 0.073776 0.063576 0.208826
950000 4 0.133657 0.113126 0.376428
350000 4 0.046950 0.043037 0.128280
350000 16 0.046014 0.048299 0.131775
400000 2 0.053957 0.048666 0.146702
600000 8 0.081237 0.074321 0.228118
150000 4 0.019430 0.018659 0.051766
1000000 16 0.140237 0.122900 0.395539
800000 4 0.110981 0.093273 0.311908
400000 8 0.054402 0.053521 0.148576
700000 4 0.095747 0.080082 0.280841
250000 8 0.031771 0.031885 0.089733
