size threads sequential_time parallel_time builtin_time
50000 2 0.005956 0.006805 0.016043
600000 4 0.080852 0.072227 0.228472
150000 2 0.020644 0.018524 0.053640
600000 16 0.081371 0.077389 0.230206
250000 4 0.031862 0.029682 0.091439
900000 32 0.125882 0.123008 0.358115
250000 2 0.031960 0.028076 0.090961
350000 32 0.046775 0.067437 0.128405
350000 4 0.047713 0.037130 0.134092
650000 8 0.088691 0.075336 0.249625
500000 16 0.067249 0.064326 0.188030
400000 8 0.054187 0.044999 0.148010
700000 8 0.099468 0.077807 0.281415
150000 4 0.018596 0.016421 0.053527
500000 32 0.067060 0.074403 0.190394
450000 4 0.061196 0.050543 0.168344
950000 8 0.134042 0.105913 0.376658
250000 8 0.032884 0.030837 0.090844
800000 2 0.112024 0.096935 0.316510
100000 8 0.011967 0.015700 0.034880
1000000 16 0.140181 0.119800 0.398895
250000 16 0.032786 0.038193 0.089616
200000 8 0.025363 0.026791 0.072118
600000 32 0.082725 0.092954 0.232964
700000 2 0.097979 0.081646 0.276333
850000 4 0.117602 0.097139 0.334583
1000000 4 0.139059 0.114066 0.397170
550000 8 0.074931 0.066921 0.211991
700000 32 0.095748 0.098078 0.274011
700000 16 0.095673 0.083053 0.275507
400000 32 0.053211 0.075281 0.147793
550000 32 0.073587 0.084525 0.208285
900000 2 0.125082 0.105497 0.363347
550000 4 0.074884 0.075976 0.212732
450000 16 0.060966 0.055158 0.172435
500000 2 0.066747 0.063294 0.190136
950000 4 0.133709 0.114708 0.379896
450000 32 0.062204 0.076367 0.169357
650000 16 0.089867 0.083946 0.255128
750000 16 0.104062 0.088504 0.300257
550000 16 0.075234 0.069912 0.210976
100000 16 0.012931 0.029077 0.033853
950000 32 0.142837 0.132127 0.381763
50000 8 0.006677 0.013096 0.017374
50000 32 0.006406 0.044701 0.017047
950000 2 0.136927 0.122463 0.380439
1000000 8 0.155826 0.115090 0.411859
800000 16 0.110442 0.094111 0.317299
200000 2 0.025897 0.023615 0.070942
200000 16 0.025648 0.036361 0.071340
150000 8 0.019322 0.020210 0.052506
750000 4 0.103469 0.084305 0.289515
850000 2 0.117602 0.103265 0.331657
800000 4 0.111668 0.100487 0.311339
150000 16 0.018537 0.031479 0.053494
350000 8 0.047192 0.043888 0.128179
50000 4 0.005942 0.006422 0.016227
700000 4 0.096381 0.083462 0.272056
650000 4 0.088822 0.072895 0.249535
750000 8 0.102489 0.087569 0.289573
850000 8 0.118248 0.100522 0.332124
950000 16 0.133661 0.118625 0.376300
450000 2 0.062387 0.057490 0.167600
1000000 2 0.139040 0.125205 0.396253
400000 16 0.053152 0.053654 0.147777
300000 8 0.038695 0.036236 0.107837
650000 2 0.089025 0.079525 0.249424
750000 2 0.102601 0.088177 0.289694
150000 32 0.019523 0.052386 0.053442
800000 8 0.111775 0.094009 0.310874
750000 32 0.102910 0.108089 0.297693
850000 16 0.117927 0.101712 0.333614
200000 4 0.025466 0.020660 0.071670
500000 8 0.066548 0.060965 0.189211
900000 16 0.125494 0.108221 0.353980
300000 4 0.039022 0.033644 0.108724
850000 32 0.117665 0.115889 0.333716
900000 4 0.124993 0.099753 0.355044
1000000 32 0.139184 0.133855 0.405187
650000 32 0.089095 0.092724 0.251469
550000 2 0.074236 0.062137 0.208682
400000 2 0.053718 0.043697 0.146980
500000 4 0.067535 0.051860 0.192898
600000 2 0.083318 0.069432 0.235154
300000 2 0.041443 0.037144 0.110274
600000 8 0.081388 0.073281 0.230106
350000 2 0.046236 0.038694 0.128293
800000 32 0.110727 0.116377 0.311443
100000 32 0.012927 0.055723 0.035087
300000 16 0.040784 0.044216 0.107695
100000 2 0.011943 0.011901 0.033952
100000 4 0.011969 0.015581 0.035348
350000 16 0.046395 0.053208 0.128652
900000 8 0.124807 0.106073 0.353340
50000 16 0.007133 0.022273 0.016865
400000 4 0.054435 0.045000 0.147657
450000 8 0.059911 0.056362 0.167379
250000 32 0.032398 0.055233 0.089325
200000 32 0.025434 0.056773 0.070995
300000 32 0.040303 0.062044 0.108878
450000 8 0.059568 0.053084 0.167298
650000 32 0.088835 0.095139 0.248704
1000000 8 0.138778 0.112555 0.397764
300000 4 0.040796 0.035047 0.107621
50000 32 0.006617 0.039960 0.016449
1000000 4 0.139406 0.118139 0.397103
550000 8 0.073769 0.064923 0.206860
950000 4 0.133027 0.114747 0.376168
350000 4 0.045765 0.040057 0.127953
350000 16 0.046278 0.052093 0.130743
400000 2 0.053301 0.047007 0.147638
600000 8 0.082333 0.068441 0.228363
150000 4 0.019223 0.018478 0.053098
1000000 16 0.138944 0.121166 0.404181
800000 4 0.110449 0.089733 0.311201
400000 8 0.053257 0.048649 0.146107
700000 4 0.096407 0.075863 0.270329
250000 8 0.031750 0.031466 0.088687
350000 32 0.046675 0.070625 0.127655
100000 2 0.012192 0.011738 0.033299
200000 16 0.024990 0.034734 0.070675
50000 16 0.005617 0.025655 0.016536
650000 8 0.088334 0.073521 0.249114
600000 16 0.081535 0.082341 0.228698
150000 2 0.019592 0.018370 0.052624
750000 2 0.103557 0.093474 0.298919
550000 4 0.074037 0.066601 0.208385
900000 16 0.124728 0.110517 0.353670
550000 32 0.074411 0.086443 0.207042
700000 8 0.096034 0.082823 0.269274
850000 8 0.117856 0.096613 0.333195
150000 16 0.019268 0.031322 0.052206
250000 16 0.033015 0.041061 0.089037
850000 4 0.118424 0.101724 0.333103
100000 16 0.013099 0.028501 0.034814
