size threads sequential_time parallel_time builtin_time
20 2 0.000003 0.001124 0.000002
620 4 0.000051 0.002630 0.000180
120 2 0.000013 0.000901 0.000040
680 16 0.000075 0.020490 0.000226
280 4 0.000032 0.003651 0.000095
140 2 0.000014 0.000528 0.000065
260 2 0.000027 0.001010 0.000135
520 32 0.000058 0.050387 0.000201
420 4 0.000045 0.004065 0.000146
780 8 0.000097 0.009812 0.000289
740 16 0.000091 0.020605 0.000245
560 8 0.000056 0.009783 0.000179
920 8 0.000106 0.011020 0.000316
220 4 0.000022 0.002705 0.000082
840 16 0.000094 0.022877 0.000242
600 4 0.000066 0.003439 0.000198
260 16 0.000031 0.022915 0.000107
540 8 0.000059 0.010423 0.000177
900 2 0.000104 0.001031 0.000301
360 8 0.000041 0.009906 0.000148
580 32 0.000062 0.039118 0.000163
720 16 0.000076 0.022464 0.000227
660 32 0.000073 0.047124 0.000210
560 4 0.000061 0.004174 0.000199
780 2 0.000093 0.000941 0.000257
220 8 0.000021 0.008648 0.000078
400 8 0.000039 0.009624 0.000153
80 16 0.000008 0.015664 0.000017
300 2 0.000042 0.000612 0.000129
440 8 0.000046 0.007574 0.000139
360 16 0.000050 0.020931 0.000142
400 32 0.000044 0.030709 0.000136
120 4 0.000014 0.002562 0.000026
1000 4 0.000122 0.003433 0.000321
480 16 0.000058 0.022577 0.000174
660 2 0.000079 0.001013 0.000230
780 32 0.000090 0.042703 0.000257
220 16 0.000022 0.019441 0.000083
440 16 0.000049 0.024796 0.000152
560 32 0.000061 0.038294 0.000192
760 8 0.000084 0.009628 0.000252
620 16 0.000064 0.023948 0.000215
240 8 0.000030 0.010820 0.000112
940 8 0.000115 0.009959 0.000296
40 16 0.000004 0.011660 0.000008
380 4 0.000041 0.003594 0.000129
1000 8 0.000116 0.010910 0.000326
80 4 0.000008 0.003178 0.000018
880 32 0.000110 0.052148 0.000318
120 32 0.000012 0.032168 0.000025
380 16 0.000036 0.019458 0.000121
840 8 0.000102 0.009902 0.000272
340 4 0.000033 0.003425 0.000122
80 32 0.000008 0.024226 0.000016
840 32 0.000095 0.047151 0.000259
60 16 0.000005 0.013719 0.000012
840 4 0.000089 0.003770 0.000268
20 16 0.000002 0.007361 0.000004
960 8 0.000117 0.010685 0.000313
740 4 0.000089 0.004397 0.000243
820 4 0.000090 0.003247 0.000244
940 2 0.000135 0.001664 0.000357
820 2 0.000123 0.000937 0.000303
40 8 0.000004 0.005419 0.000010
860 4 0.000092 0.003889 0.000263
720 4 0.000076 0.003792 0.000220
960 16 0.000113 0.023140 0.000318
700 32 0.000077 0.048245 0.000217
960 4 0.000132 0.003606 0.000319
820 16 0.000097 0.016403 0.000285
320 2 0.000036 0.000584 0.000124
240 16 0.000023 0.019351 0.000085
20 32 0.000003 0.012428 0.000003
660 16 0.000073 0.023828 0.000210
820 32 0.000090 0.036481 0.000239
900 8 0.000107 0.010856 0.000303
300 32 0.000030 0.038621 0.000113
920 32 0.000107 0.040838 0.000310
100 2 0.000012 0.000934 0.000022
360 4 0.000041 0.004292 0.000141
180 32 0.000017 0.032881 0.000092
920 16 0.000102 0.022921 0.000290
520 2 0.000053 0.000649 0.000163
260 8 0.000029 0.009568 0.000104
160 4 0.000016 0.003523 0.000070
720 2 0.000082 0.000761 0.000231
980 32 0.000119 0.045697 0.000298
800 32 0.000107 0.042958 0.000249
540 32 0.000058 0.045658 0.000191
920 4 0.000114 0.003396 0.000313
580 2 0.000074 0.001355 0.000178
280 2 0.000030 0.000440 0.000108
100 32 0.000010 0.030599 0.000023
780 16 0.000086 0.020219 0.000245
140 4 0.000015 0.003123 0.000077
140 32 0.000014 0.028529 0.000080
20 8 0.000003 0.008701 0.000003
860 32 0.000091 0.031601 0.000264
700 4 0.000082 0.004033 0.000218
620 2 0.000075 0.000749 0.000216
460 4 0.000054 0.003197 0.000171
800 8 0.000092 0.010091 0.000259
800 4 0.000091 0.003634 0.000251
900 16 0.000098 0.020333 0.000233
480 8 0.000054 0.006398 0.000171
200 4 0.000020 0.003119 0.000085
540 4 0.000058 0.003172 0.000189
180 4 0.000017 0.002870 0.000081
760 16 0.000085 0.021041 0.000258
80 8 0.000007 0.008719 0.000016
240 2 0.000030 0.000871 0.000102
280 16 0.000028 0.020756 0.000101
300 16 0.000030 0.018777 0.000117
500 8 0.000057 0.010067 0.000158
120 16 0.000013 0.016318 0.000027
520 4 0.000057 0.004199 0.000180
60 32 0.000005 0.024936 0.000012
1000 16 0.000110 0.024219 0.000316
280 32 0.000030 0.033653 0.000113
40 2 0.000005 0.000944 0.000010
60 8 0.000005 0.009604 0.000013
980 4 0.000123 0.004424 0.000350
700 16 0.000085 0.019948 0.000243
620 32 0.000062 0.047080 0.000212
80 2 0.000007 0.000519 0.000015
500 2 0.000055 0.000559 0.000176
